# Created by Octave 4.2.2, Mon Mar 04 16:03:52 2024 CET <moi@Chronos>
# name: A
# type: matrix
# rows: 115
# columns: 2
 5000.827011767071 0.00704
 5025.055807641667 0.00696
 5049.520547014156 0.00694
 5074.224667477558 0.00695
 5099.171699727605 0.00695
 5124.365217977532 0.00692
 5149.808946465424 0.00691
 5175.506604463978 0.00691
 5201.461985323139 0.00681
 5227.679040309373 0.00689
 5254.161719041499 0.00682
 5280.914051022016 0.00687
 5307.940232189581 0.00686
 5335.244460581069 0.00685
 5362.831020476598 0.00676
 5390.704371804643 0.00675
 5418.86898081923 0.00675
 5447.329406992717 0.00679
 5476.090395423175 0.00681
 5505.156702303674 0.00675
 5534.533184706765 0.00672
 5564.224896155009 0.00679
 5594.236906646563 0.00681
 5624.574395486212 0.00679
 5655.242750192279 0.00685
 5686.247380829162 0.00682
 5717.593848742667 0.00688
 5749.287805535767 0.00669
 5781.335128353098 0.00668
 5813.741726209798 0.00668
 5846.513640603289 0.0067
 5879.657152958058 0.00642
 5913.178584621929 0.00673
 5947.084401134815 0.00668
 5981.381323694281 0.00664
 6016.076122518137 0.00668
 6051.175724987279 0.0068
 6086.687331375936 0.00665
 6122.618201261836 0.00665
 6158.975765779177 0.0067
 6195.767747878945 0.00674
 6233.001941449212 0.00674
 6270.686327935437 0.00663
 6308.829201420324 0.00671
 6347.438940097029 0.00671
 6386.524127537738 0.00664
 6426.093682909574 0.00676
 6466.156624422598 0.00677
 6506.722195554421 0.00691
 6547.800000749068 0.00699
 6589.399760439736 0.00696
 6631.531486544655 0.00696
 6674.205404144162 0.00701
 6717.432137427322 0.00705
 6761.222452818973 0.00709
 6805.587398142816 0.00707
 6850.538452664906 0.00706
 6896.087260771113 0.00707
 6942.245777354708 0.00708
 6989.026424775064 0.0072
 7036.441816605502 0.00717
 7084.504909717762 0.00731
 7133.229168689978 0.00739
 7182.628279119406 0.00764
 7232.716306929921 0.00784
 7283.507870824454 0.008019999999999999
 7335.017844631412 0.00818
 7387.261524423469 0.008410000000000001
 7440.254809680179 0.008659999999999999
 7494.013894111592 0.008920000000000001
 7548.55544124862 0.00932
 7603.896775063434 0.009820000000000001
 7660.05555868937 0.01037
 7717.050038780106 0.01104
 7774.898948666501 0.01173
 7833.621769898108 0.01266
 7893.238393882904 0.01365
 7953.769320312154 0.01381
 8015.235873323109 0.01421
 8077.659849598335 0.01404
 8141.063728157313 0.01368
 8205.470899256428 0.01371
 8270.905298308024 0.01478
 8337.391628186617 0.01681
 8404.955602166823 0.0197
 8473.623563018555 0.02342
 8543.422719149836 0.02819
 8614.381403080466 0.03428
 8686.528675078092 0.04202
 8759.894574668793 0.05199
 8834.510396381158 0.06318
 8910.408277313076 0.0726
 8987.621465794242 0.07607
 9066.184616421788 0.07202
 9146.133360996118 0.06325
 9227.50459642766 0.0535
 9310.336801433792 0.04457
 9394.669590363001 0.03729
 9480.54411269682 0.03164
 9568.002944801674 0.0272
 9657.090525093385 0.02385
 9747.852684523536 0.02118
 9840.336989818872 0.01912
 9934.593122529546 0.01735
 10030.67239188023 0.016
 10128.62810750615 0.01473
 10228.51599176821 0.01393
 10330.39367518755 0.01314
 10434.32110320992 0.01247
 10540.3609869155 0.01193
 10648.57828169217 0.01148
 10759.04063356117 0.01105
 10871.81887454083 0.01077
 10986.98648583083 0.01055
 11104.6200905142 0.01026


